price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_per_sqft
5740000,6360,3,1,1,1,1,1,0,1,2,1,2,902.5157232704403
5740000,5800,3,2,4,1,0,0,0,1,0,0,0,989.6551724137931
5652500,6660,4,2,2,1,1,1,0,0,1,1,1,848.7237237237238
5600000,4800,5,2,3,0,0,1,1,0,0,0,0,1166.6666666666667
5600000,4700,4,1,2,1,1,1,0,1,1,0,2,1191.4893617021276
5600000,5000,3,1,4,1,0,0,0,0,0,0,2,1120.0
5600000,5500,3,2,2,1,0,0,0,0,1,0,1,1018.1818181818181
5600000,6360,3,1,3,1,0,0,0,0,0,1,1,880.503144654088
5600000,6600,4,2,1,1,0,1,0,0,0,1,1,848.4848484848485
5600000,5136,3,1,2,1,1,1,0,1,0,1,0,1090.342679127726
5565000,4400,4,1,2,1,0,0,0,1,2,1,1,1264.7727272727273
5565000,5400,5,1,2,1,1,1,0,1,0,1,2,1030.5555555555557
5530000,3300,3,3,2,1,0,1,0,0,0,0,1,1675.7575757575758
5530000,3650,3,2,2,1,0,0,0,0,2,0,1,1515.0684931506848
5530000,6100,3,2,1,1,0,1,0,0,2,1,2,906.5573770491803
5523000,6900,3,1,1,1,1,1,0,0,0,1,1,800.4347826086956
5495000,7980,3,1,1,1,0,0,0,0,2,0,1,688.5964912280701
5460000,6210,4,1,4,1,1,0,0,1,0,0,2,879.2270531400966
5460000,6100,3,1,3,1,1,0,0,1,0,1,1,895.0819672131148
5460000,6600,4,2,2,1,1,1,0,0,0,1,1,827.2727272727273
5425000,6825,3,1,1,1,1,1,0,1,0,1,1,794.8717948717949
5390000,6710,3,2,2,1,1,1,0,0,1,1,2,803.2786885245902
5383000,6450,3,2,1,1,1,1,1,0,0,0,0,834.5736434108527
5320000,7800,3,1,1,1,0,1,0,1,2,1,0,682.0512820512821
5285000,4600,2,2,1,1,0,0,0,1,2,0,1,1148.9130434782608
5250000,4260,4,1,2,1,0,1,0,1,0,0,2,1232.394366197183
5250000,6540,4,2,2,0,0,0,0,1,0,0,1,802.7522935779816
5250000,5500,3,2,1,1,0,1,0,0,0,0,1,954.5454545454545
5250000,8400,3,1,2,1,1,1,0,1,2,1,0,625.0
5250000,5300,4,2,1,1,0,0,0,1,0,1,0,990.566037735849
5250000,3800,3,1,2,1,1,1,0,0,1,1,0,1381.578947368421
5250000,8520,3,1,1,1,0,0,0,1,2,0,2,616.1971830985915
5243000,6050,3,1,1,1,0,1,0,0,0,1,1,866.6115702479339
5229000,7085,3,1,1,1,1,1,0,0,2,1,1,738.0381086803105
5215000,3180,3,2,2,1,0,0,0,0,2,0,1,1639.937106918239
5215000,4500,4,2,1,0,0,1,0,1,2,0,1,1158.888888888889
5215000,7200,3,1,2,1,1,1,0,0,1,1,2,724.3055555555555
5145000,3410,3,1,2,0,0,0,0,1,0,0,1,1508.7976539589442
5145000,7980,3,1,1,1,0,0,0,0,1,1,1,644.7368421052631
5110000,6100,3,1,1,1,0,1,0,1,0,1,1,837.7049180327868
5075000,5720,2,1,2,1,0,0,0,1,0,1,0,887.2377622377622
5040000,3540,2,1,1,0,1,1,0,0,0,0,1,1423.7288135593221
5040000,7600,4,1,2,1,0,0,0,1,2,0,2,663.1578947368421
5040000,6600,3,1,1,1,1,1,0,0,0,1,2,763.6363636363636
5033000,4800,2,1,1,1,1,1,0,0,0,0,1,1048.5416666666667
5005000,8150,3,2,1,1,1,1,0,0,0,0,1,614.1104294478528
4970000,4410,4,3,2,1,0,1,0,0,2,0,1,1126.984126984127
4970000,7686,3,1,1,1,1,1,1,0,0,0,1,646.6302367941712
4935000,5948,3,1,2,1,0,0,0,1,0,0,1,829.6906523201076
4907000,4200,3,1,2,1,0,0,0,0,1,0,2,1168.3333333333333
4900000,4520,3,1,2,1,0,1,0,1,0,0,1,1084.070796460177
4900000,4095,3,1,2,0,1,1,0,1,0,0,1,1196.5811965811965
4900000,4120,2,1,1,1,0,1,0,0,1,0,1,1189.3203883495146
4900000,5400,4,1,2,1,0,0,0,0,0,0,1,907.4074074074074
4900000,4770,3,1,1,1,1,1,0,0,0,0,1,1027.2536687631027
4900000,6300,3,1,1,1,0,0,0,1,2,0,1,777.7777777777778
4900000,5800,2,1,1,1,1,1,0,1,0,0,1,844.8275862068965
4900000,3000,3,1,2,1,0,1,0,1,0,0,1,1633.3333333333333
4900000,2970,3,1,3,1,0,0,0,0,0,0,1,1649.8316498316499
4900000,6720,3,1,1,1,0,0,0,0,0,0,0,729.1666666666666
4900000,4646,3,1,2,1,1,1,0,0,2,0,1,1054.6706844597504
4893000,3420,4,2,2,1,0,1,0,1,2,0,1,1430.701754385965
4893000,4995,4,2,1,1,0,1,0,0,0,0,1,979.5795795795796
4865000,4350,2,1,1,1,0,1,0,0,0,0,0,1118.3908045977012
4830000,4160,3,1,3,1,0,0,0,0,0,0,0,1161.0576923076924
4830000,6040,3,1,1,1,0,0,0,0,2,1,1,799.6688741721854
4830000,6862,3,1,2,1,0,0,0,1,2,1,2,703.8764208685515
4830000,4815,2,1,1,1,0,0,0,1,0,1,1,1003.1152647975077
4795000,7000,3,1,2,1,0,1,0,0,0,0,0,685.0
4795000,8100,4,1,4,1,0,1,0,1,2,0,1,591.9753086419753
4767000,3420,4,2,2,1,0,0,0,0,0,0,1,1393.859649122807
4760000,9166,2,1,1,1,0,1,0,1,2,0,1,519.3104953087498
4760000,6321,3,1,2,1,0,1,0,1,1,0,2,753.0454042081949
4753000,6440,2,1,1,1,0,0,0,1,3,0,1,738.0434782608696
4690000,5170,3,1,4,1,0,0,0,1,0,0,1,907.1566731141199
4690000,6000,2,1,1,1,0,1,0,1,1,0,2,781.6666666666666
4690000,3630,3,1,2,1,0,0,0,0,2,0,1,1292.0110192837465
4690000,9667,4,2,2,1,1,1,0,0,1,0,1,485.15568428674874
4690000,5400,2,1,2,1,0,0,0,0,0,1,1,868.5185185185185
4690000,4320,3,1,1,1,0,0,0,0,0,1,1,1085.648148148148
4655000,3745,3,1,2,1,0,1,0,0,0,0,2,1242.9906542056074
4620000,4160,3,1,1,1,1,1,0,1,0,0,0,1110.576923076923
4620000,3880,3,2,2,1,0,1,0,0,2,0,1,1190.721649484536
4620000,5680,3,1,2,1,1,0,0,1,1,0,1,813.3802816901408
4620000,2870,2,1,2,1,1,1,0,0,0,1,1,1609.7560975609756
4620000,5010,3,1,2,1,0,1,0,0,0,0,1,922.1556886227545
4613000,4510,4,2,2,1,0,1,0,0,0,0,1,1022.8381374722838
4585000,4000,3,1,2,1,0,0,0,0,1,0,2,1146.25
4585000,3840,3,1,2,1,0,0,0,0,1,1,1,1194.0104166666667
4550000,3760,3,1,1,1,0,0,0,0,2,0,1,1210.1063829787233
4550000,3640,3,1,2,1,0,0,0,1,0,0,2,1250.0
4550000,5320,3,1,2,1,1,1,0,0,0,1,1,855.2631578947369
4550000,5360,3,1,2,1,0,0,0,0,2,1,0,848.8805970149253
4550000,3520,3,1,1,1,0,0,0,0,0,1,1,1292.6136363636363
4550000,8400,4,1,4,1,0,0,0,0,3,0,0,541.6666666666666
4543000,4100,2,2,1,1,1,1,0,0,0,0,1,1108.0487804878048
4543000,4990,4,2,2,1,1,1,0,0,0,1,2,910.4208416833667
4515000,3510,3,1,3,1,0,0,0,0,0,0,1,1286.3247863247864
4515000,3450,3,1,2,1,0,1,0,0,1,0,1,1308.695652173913
4515000,3520,2,1,2,1,0,0,0,0,0,1,2,1282.6704545454545
4480000,4510,4,1,2,1,0,0,0,1,2,0,1,993.3481152993348
4480000,5885,2,1,1,1,0,0,0,1,1,0,0,761.2574341546305
4480000,4000,3,1,2,1,0,0,0,0,2,0,2,1120.0
4480000,8250,3,1,1,1,0,0,0,0,0,0,2,543.030303030303
4480000,4040,3,1,2,1,0,0,0,0,1,0,1,1108.9108910891089
4473000,6360,2,1,1,1,0,1,0,1,1,0,2,703.3018867924528
4473000,3162,3,1,2,1,0,0,0,1,1,0,2,1414.6110056925995
4473000,3510,3,1,2,1,0,0,0,0,0,0,1,1274.3589743589744
4445000,3750,2,1,1,1,1,1,0,0,0,0,1,1185.3333333333333
4410000,3968,3,1,2,0,0,0,0,0,0,0,1,1111.391129032258
4410000,4900,2,1,2,1,0,1,0,0,0,0,1,900.0
4403000,2880,3,1,2,1,0,0,0,0,0,1,1,1528.8194444444443
4403000,4880,3,1,1,1,0,0,0,0,2,1,0,902.2540983606557
4403000,4920,3,1,2,1,0,0,0,0,1,0,1,894.9186991869918
4382000,4950,4,1,2,1,0,0,0,1,0,0,1,885.2525252525253
4375000,3900,3,1,2,1,0,0,0,0,0,0,0,1121.7948717948718
4340000,4500,3,2,3,1,0,0,1,0,1,0,2,964.4444444444445
4340000,4075,3,1,1,1,1,1,0,0,2,0,1,1065.0306748466257
4340000,3500,4,1,2,1,0,0,0,0,2,0,2,1240.0
4340000,6450,4,1,2,1,0,0,0,0,0,0,1,672.8682170542636
4319000,4032,2,1,1,1,0,1,0,0,0,0,2,1071.1805555555557
4305000,4400,2,1,1,1,0,0,0,0,1,0,1,978.4090909090909
4277000,3400,3,1,2,1,0,1,0,0,2,1,1,1257.9411764705883
4270000,6360,2,1,1,1,0,0,0,0,0,0,2,671.3836477987421
4270000,6360,2,1,2,1,0,0,0,0,0,0,0,671.3836477987421
4270000,4500,2,1,1,1,0,0,0,1,2,0,2,948.8888888888889
4270000,4360,4,1,2,1,0,0,0,0,0,0,2,979.3577981651376
4270000,7770,2,1,1,1,0,0,0,0,1,0,2,549.5495495495495
4235000,6650,3,1,2,1,1,0,0,0,0,0,1,636.8421052631579
4235000,2787,3,1,1,1,0,1,0,0,0,1,2,1519.5550771438823
4200000,5500,3,1,2,1,0,0,0,1,0,0,0,763.6363636363636
4200000,5040,3,1,2,1,0,1,0,1,0,0,0,833.3333333333334
4200000,5850,2,1,1,1,1,1,0,0,2,0,1,717.9487179487179
4200000,2610,4,3,2,0,0,0,0,0,0,0,1,1609.1954022988505
4200000,2953,3,1,2,1,0,1,0,1,0,0,0,1422.2824246528953
4200000,2747,4,2,2,0,0,0,0,0,0,0,1,1528.9406625409538
4200000,4410,2,1,1,0,0,0,0,0,1,0,0,952.3809523809524
4200000,4000,4,2,2,0,0,0,0,0,0,0,1,1050.0
4200000,4600,3,2,2,1,0,0,0,1,1,0,1,913.0434782608696
4200000,3640,3,2,2,1,0,1,0,0,0,0,0,1153.8461538461538
4200000,5800,3,1,1,1,0,0,1,0,2,0,1,724.1379310344828
4200000,7000,3,1,1,1,0,0,0,0,3,0,2,600.0
4200000,4079,3,1,3,1,0,0,0,0,0,0,1,1029.6641333660211
4200000,3520,3,1,2,1,0,0,0,0,0,1,1,1193.1818181818182
4200000,4500,3,1,1,1,0,1,0,0,0,0,2,933.3333333333334
4193000,8250,3,1,1,1,0,1,0,0,3,0,1,508.24242424242425
4193000,3450,3,1,2,1,0,0,0,0,1,0,1,1215.3623188405797
4165000,4840,3,1,2,1,0,0,0,0,1,0,1,860.5371900826447
4165000,4080,3,1,2,1,0,0,0,0,2,0,1,1020.8333333333334
4165000,4046,3,1,2,1,0,1,0,0,1,0,1,1029.4117647058824
4130000,4632,4,1,2,1,0,0,0,1,0,0,1,891.6234887737478
4130000,5985,3,1,1,1,0,1,0,0,0,0,1,690.0584795321637
4123000,6060,2,1,1,1,0,1,0,0,1,0,1,680.3630363036303
4098500,3600,3,1,1,1,0,1,0,1,0,1,2,1138.4722222222222
4095000,3680,3,2,2,1,0,0,0,0,0,0,1,1112.7717391304348
4095000,4040,2,1,2,1,0,0,0,0,1,0,1,1013.6138613861386
4095000,5600,2,1,1,1,0,0,0,1,0,0,1,731.25
4060000,5900,4,2,2,0,0,1,0,0,1,0,0,688.1355932203389
4060000,4992,3,2,2,1,0,0,0,0,2,0,0,813.3012820512821
4060000,4340,3,1,1,1,0,0,0,0,0,0,1,935.483870967742
4060000,3000,4,1,3,1,0,1,0,1,2,0,1,1353.3333333333333
4060000,4320,3,1,2,1,0,0,0,0,2,1,2,939.8148148148148
4025000,3630,3,2,2,1,0,0,1,0,2,0,1,1108.8154269972451
4025000,3460,3,2,1,1,0,1,0,1,1,0,2,1163.2947976878613
4025000,5400,3,1,1,1,0,0,0,0,3,0,1,745.3703703703703
4007500,4500,3,1,2,0,0,1,0,1,0,0,1,890.5555555555555
4007500,3460,4,1,2,1,0,0,0,1,0,0,1,1158.236994219653
3990000,4100,4,1,1,0,0,1,0,0,0,0,0,973.170731707317
3990000,6480,3,1,2,0,0,0,0,1,1,0,1,615.7407407407408
3990000,4500,3,2,2,0,0,1,0,1,0,0,1,886.6666666666666
3990000,3960,3,1,2,1,0,0,0,0,0,0,2,1007.5757575757576
3990000,4050,2,1,2,1,1,1,0,0,0,1,0,985.1851851851852
3920000,7260,3,2,1,1,1,1,0,0,3,0,2,539.9449035812672
3920000,5500,4,1,2,1,1,1,0,0,0,0,1,712.7272727272727
3920000,3000,3,1,2,1,0,0,0,0,0,0,1,1306.6666666666667
3920000,3290,2,1,1,1,0,0,1,0,1,0,2,1191.4893617021276
3920000,3816,2,1,1,1,0,1,0,1,2,0,2,1027.2536687631027
3920000,8080,3,1,1,1,0,0,0,1,2,0,1,485.1485148514852
3885000,3780,2,1,2,1,1,1,0,0,0,0,1,1027.7777777777778
3885000,3180,4,2,2,1,0,0,0,0,0,0,2,1221.698113207547
3850000,5300,5,2,2,1,0,0,0,0,0,0,1,726.4150943396227
3850000,3180,2,2,1,1,0,1,0,0,2,0,1,1210.691823899371
3850000,7152,3,1,2,1,0,0,0,1,0,0,2,538.3109619686801
3850000,4080,2,1,1,1,0,0,0,0,0,0,1,943.6274509803922
3850000,3850,2,1,1,1,0,0,0,0,0,0,1,1000.0
3836000,3350,3,1,2,1,0,0,0,0,0,0,0,1145.0746268656717
3815000,3150,2,2,1,0,0,1,0,0,0,0,1,1211.111111111111
3780000,4820,3,1,2,1,0,0,0,0,0,0,1,784.2323651452282
3780000,3420,2,1,2,1,0,0,1,0,1,0,1,1105.2631578947369
3780000,3600,2,1,1,1,0,0,0,0,0,0,1,1050.0
3780000,5830,2,1,1,1,0,0,0,0,2,0,0,648.3704974271012
3780000,2856,3,1,3,1,0,0,0,0,0,1,2,1323.5294117647059
3780000,8400,2,1,1,1,0,0,0,0,1,0,2,450.0
3773000,8250,3,1,1,1,0,0,0,0,2,0,2,457.3333333333333
3773000,2520,5,2,1,0,0,1,0,1,1,0,2,1497.2222222222222
3773000,6930,4,1,2,0,0,0,0,0,1,0,2,544.4444444444445
3745000,3480,2,1,1,1,0,0,0,0,0,1,1,1076.1494252873563
3710000,3600,3,1,1,1,0,0,0,0,1,0,0,1030.5555555555557
3710000,4040,2,1,1,1,0,0,0,0,0,0,1,918.3168316831683
3710000,6020,3,1,1,1,0,0,0,0,0,0,1,616.2790697674419
3710000,4050,2,1,1,1,0,0,0,0,0,0,2,916.0493827160494
3710000,3584,2,1,1,1,0,0,1,0,0,0,1,1035.15625
3703000,3120,3,1,2,0,0,1,1,0,0,0,1,1186.8589743589744
3703000,5450,2,1,1,1,0,0,0,0,0,0,2,679.4495412844037
3675000,3630,2,1,1,1,0,1,0,0,0,0,2,1012.396694214876
3675000,3630,2,1,1,1,0,0,0,1,0,0,0,1012.396694214876
3675000,5640,2,1,1,0,0,0,0,0,0,0,1,651.5957446808511
3675000,3600,2,1,1,1,0,0,0,0,0,0,2,1020.8333333333334
3640000,4280,2,1,1,1,0,0,0,1,2,0,1,850.4672897196261
3640000,3570,3,1,2,1,0,1,0,0,0,0,1,1019.6078431372549
3640000,3180,3,1,2,0,0,1,0,0,0,0,1,1144.6540880503144
3640000,3000,2,1,2,1,0,0,0,1,0,0,2,1213.3333333333333
3640000,3520,2,2,1,1,0,1,0,0,0,0,1,1034.090909090909
3640000,5960,3,1,2,1,1,1,0,0,0,0,0,610.738255033557
3640000,4130,3,2,2,1,0,0,0,0,2,0,1,881.3559322033898
3640000,2850,3,2,2,0,0,1,0,0,0,1,0,1277.1929824561403
3640000,2275,3,1,3,1,0,0,1,1,0,1,1,1600.0
3633000,3520,3,1,1,1,0,0,0,0,2,1,0,1032.1022727272727
3605000,4500,2,1,1,1,0,0,0,0,0,0,1,801.1111111111111
3605000,4000,2,1,1,1,0,0,0,0,0,1,1,901.25
3570000,3150,3,1,2,1,0,1,0,0,0,0,2,1133.3333333333333
3570000,4500,4,2,2,1,0,1,0,0,2,0,2,793.3333333333334
3570000,4500,2,1,1,0,0,0,0,0,0,0,2,793.3333333333334
3570000,3640,2,1,1,1,0,0,0,0,0,0,0,980.7692307692307
3535000,3850,3,1,1,1,0,0,0,0,2,0,0,918.1818181818181
3500000,4240,3,1,2,1,0,0,0,1,0,0,1,825.4716981132076
3500000,3650,3,1,2,1,0,0,0,0,0,0,0,958.9041095890411
3500000,4600,4,1,2,1,0,0,0,0,0,0,1,760.8695652173913
3500000,2135,3,2,2,0,0,0,0,0,0,0,0,1639.344262295082
3500000,3036,3,1,2,1,0,1,0,0,0,0,1,1152.832674571805
3500000,3990,3,1,2,1,0,0,0,0,0,0,1,877.1929824561404
3500000,7424,3,1,1,0,0,0,0,0,0,0,0,471.4439655172414
3500000,3480,3,1,1,0,0,0,0,1,0,0,0,1005.7471264367816
3500000,3600,6,1,2,1,0,0,0,0,1,0,0,972.2222222222222
3500000,3640,2,1,1,1,0,0,0,0,1,0,1,961.5384615384615
3500000,5900,2,1,1,1,0,0,0,0,1,0,2,593.2203389830509
3500000,3120,3,1,2,1,0,0,0,0,1,0,0,1121.7948717948718
3500000,7350,2,1,1,1,0,0,0,0,1,0,1,476.1904761904762
3500000,3512,2,1,1,1,0,0,0,0,1,1,0,996.5831435079726
3500000,9500,3,1,2,1,0,0,0,0,3,1,0,368.42105263157896
3500000,5880,2,1,1,1,0,0,0,0,0,0,0,595.2380952380952
3493000,4900,3,1,2,0,0,0,0,0,0,0,0,712.8571428571429
3465000,3060,3,1,1,1,0,0,0,0,0,0,0,1132.3529411764705
3465000,5320,2,1,1,1,0,0,0,0,1,1,0,651.3157894736842
3465000,2145,3,1,3,1,0,0,0,0,0,1,2,1615.3846153846155
3430000,4000,2,1,1,1,0,0,0,0,0,0,0,857.5
3430000,3185,2,1,1,1,0,0,0,0,2,0,0,1076.923076923077
3430000,3850,3,1,1,1,0,0,0,0,0,0,0,890.9090909090909
3430000,2145,3,1,3,1,0,0,0,0,0,1,2,1599.067599067599
3430000,2610,3,1,2,1,0,1,0,0,0,1,0,1314.176245210728
3423000,4040,2,1,1,1,0,0,0,0,0,0,0,847.2772277227723
3395000,4785,3,1,2,1,1,1,0,1,1,0,2,709.5088819226751
3395000,3450,3,1,1,1,0,1,0,0,2,0,0,984.0579710144928
3395000,3640,2,1,1,1,0,0,0,0,0,0,2,932.6923076923077
3360000,3500,4,1,2,1,0,0,0,1,2,0,0,960.0
3360000,4960,4,1,3,0,0,0,0,0,0,0,1,677.4193548387096
3360000,4120,2,1,2,1,0,0,0,0,0,0,0,815.5339805825242
3360000,4750,2,1,1,1,0,0,0,0,0,0,0,707.3684210526316
3360000,3720,2,1,1,0,0,0,0,1,0,0,0,903.2258064516129
3360000,3750,3,1,1,1,0,0,0,0,0,0,0,896.0
3360000,3100,3,1,2,0,0,1,0,0,0,0,1,1083.8709677419354
3360000,3185,2,1,1,1,0,1,0,0,2,0,2,1054.9450549450548
3353000,2700,3,1,1,0,0,0,0,0,0,0,2,1241.851851851852
3332000,2145,3,1,2,1,0,1,0,0,0,1,2,1553.3799533799533
3325000,4040,2,1,1,1,0,0,0,0,1,0,0,823.019801980198
3325000,4775,4,1,2,1,0,0,0,0,0,0,0,696.3350785340314
3290000,2500,2,1,1,0,0,0,0,1,0,0,0,1316.0
3290000,3180,4,1,2,1,0,1,0,1,0,0,0,1034.5911949685535
3290000,6060,3,1,1,1,1,1,0,0,0,0,2,542.9042904290429
3290000,3480,4,1,2,0,0,0,0,0,1,0,1,945.4022988505748
